last,この前の～ 最後の～
other,ほかの～
absent,欠席の～
ready,用意できている
right,正しい（correct） 右に（on the right）
full,いっぱいの～
weak,弱い
brown,茶色の～
special,特別の～
rainy,雨降りの～
such,そのような
past,過去の～
quiet,静かな
loud,(声の)大きい
free,自由な ひまな
wonderful,すばらしい
useful,役に立つ
light,薄い (light color)
difficult,むずかしい
popular,人気のある
human ～,人間の
welcome,ようこそ
own,自分の
bright,明るい
deep,深い
different,違った
same,同じ
low,低い
main,主な
interesting,おもしろい
tired,疲れて
foolish,愚かな
well,健康な
usual ～,通常の
afraid,恐れて
each,おのおのの～
lucky,好運な
few,(aをつけ)少数の～
cloudy,曇った
sure,確信して
enough,十分な
American,アメリカの
wide,幅が広い
important,重要な
great,すばらしい， 広大な
yellow,黄色の
